变压器故障上升,铁心多点接地故障常见
铁心多点接地故障,变压器事故
计划外停电检修,人力物力财力浪费
铁心多点接地故障,变压器异常
带电测量及试验合格,故障点不在电气回路和主绝缘部位
P4主变铁心绝缘为零,测量铁心对地阻值
测量铁心对地阻值,发现高阻多点接地故障
用电容器充放电法处理,效果不明显
效果不明显,仍为高阻接地故障
仍为高阻接地故障,说明故障点稳定
电流超过1A,应及时检查
乙炔或总烃增加较快,应及时检查
不及时检查,变压器可能发生故障
铁心高阻多点接地故障,加强电流测量
铁心多点接地由高阻演变为低阻,接地电流由稳定变为不稳定
乙烯占比高,铁心多点接地故障
乙炔出现,总烃变化较大
总烃变化较大,接地点异物松动
接地点异物松动,电弧放电现象
油中发现乙炔,铁心引下线电流增大
铁心引下线电流增大,铁心绝缘电阻降低
铁心绝缘电阻降低,变压器不安全系数增加
试验结果,P4主变需要采取限流措施
采取限流措施,保证安全运行
铁心绝缘降低,铁心引下线电流增大
加装限流电阻,电流限制在1A以下
安装限流电阻前电流过大,加装20Ω限流电阻后电流下降
变压器漏磁较大,电流误差较大
电流误差较大,易引起误判断
消除漏磁影响,避免误判断
铁心接地故障不稳定,采取临时限流措施
铁心接地故障不稳定,主变需要大修
铁心对上夹件绝缘合格,故障不在变压器上部
上夹件对地绝缘合格,故障不在变压器上部
变压器上夹件与铁心仅一点相连,故障点应在下部
下夹件直接接地,故障点应在下部
多次油循环冲洗,铁心绝缘阻值未变化
加压至70V,铁心右下穿钉放电声
加压至70V,铁心与下夹件间白烟冒出
放电现象,白烟冒出
异物在右下穿钉附近,出现该现象
异物被烧熔,用油冲洗清理
电容充放电不能解决问题,异物比较大
变压器异常,吊芯查找
铁心吊检,发现锯条夹在绝缘垫块间
放电,锯条右下角缺角
锯条,变压器铁心多点接地故障
铁心多点接地故障处理,安全运行
厂家未要求吊罩检查,锯条问题未发现
锯条出厂前存在,产品质量问题
锯条夹在绝缘垫块中间,常规试验不能发现问题
主变低压侧短路冲击,锯条移位
锯条移位,铁心和下夹件短接
铁心和下夹件短接,铁心多点接地
油流和电磁力影响,接地电流时高时低
厂家制造遗留异物,铁心多点接地故障
加强监视和分析,采取限流措施
限流措施,安全可靠运行
发现多点接地故障,停电测量绝缘电阻
发现多点接地故障,取油样进行色谱分析
充放电法处理,故障消除
故障消除,变压器正常运行
铁心绝缘变化,油中出现乙炔
加强电流测量,保证变压器安全运行
注意气体变化,缩短监测周期
