防止进水受潮,变压器运行安全
密封不良,变压器受潮
绝缘受潮,采取相应措施
储油柜补油或带电滤油,需放尽储油柜积水
从变压器下部进油,水分进入风险增加
气体继电器发出轻瓦斯动作信号,应立即检查气体继电器
气体继电器发出轻瓦斯动作信号,及时取气样检验
气体继电器发出轻瓦斯动作信号,取油样进行色谱分析
气体继电器发出轻瓦斯动作信号,查明原因并排除
采用合格绝缘材料,防止绝缘损伤
绝缘件干燥处理,防止绝缘损伤
变压器过负荷运行,线圈温度过高
线圈温度过高,绝缘劣化或烧损
变压器缺陷,不得超过规定电流运行
绝缘异常,不得超过规定电流运行
不得超过规定电流运行,加强运行监视
投切空载变压器,中性点必须可靠接地
中性点未可靠接地,过电压击穿事故
更换绝缘部件并干燥处理后,变压器进行局部放电试验
未进行局部放电试验,工作电压下击穿事故风险增加
油色谱异常,怀疑设备存在放电性故障
怀疑设备存在放电性故障,进行局部放电试验
接点短路,误动
接点受潮,误动
直流电源故障,后备保护瘫痪
后备保护瘫痪,故障无法切除
故障无法切除,事故扩大
铁芯多点接地,短路故障
检修不彻底,无法消除故障
螺帽和座套松动掉下,铁芯短路
电位悬浮,放电
污移,闪络
大雨,闪络
渗漏油,内部受潮
内部受潮,套管损坏
裸露引线未加包绝缘,金属异物碰触引起短路
裸露引线与套管导管相碰,分流烧坏引线
绝缘油介质值超标,绝缘性能下降
绝缘性能下降,需查明原因并处理绝缘油
减少短路冲击,改善运行条件
防污工作加强,防止变电设备污闪
直流电源可靠性提高,防止保护拒动
变压器着火,事故扩大
套管质量问题,变压器着火
运行中爆炸喷油,变压器着火
加热系统故障,线圈过热烧损
线圈过热烧损,火灾发生
机械力超过允许值,过热性故障
机械力超过允许值,电位悬浮
接触不良,过热性故障
外部操作,内部引线扭断
二次引线端子无防转动措施,内部引线扭断
互感器长期未带电运行,需进行预防性试验
静放时间不足,影响绝缘性能
隔膜有积水,进行试验
试验不合格,互感器退出运行
绝缘性能有问题,互感器退出运行
硅胶表面放电现象,应及时处理
运行中渗油,限期处理
含水量异常,加强监视或油处理
油浸式互感器严重漏油,应立即停止运行
电容式电压互感器电容单元渗油,应立即停止运行
互感器缺陷怀疑,缩短试验周期
油中气体色谱分析H2单项超过注意值,需要跟踪分析
跟踪分析,注意产气速率
产气速率异常,需要综合诊断
产气速率增长较快,加强监视
检测数据稳定,非故障性氢超标
非故障性氢超标,安排脱气处理
油中有乙炔大于1x106? L/L,立即停止运行
膨胀器异常伸长,顶起上盖
顶起上盖,退出运行
互感器异常响声,退出运行
电压互感器二次电压异常,需查明原因
电压互感器二次电压异常,需及时处理
短路电流超过动热稳定电流,应及时改变变比或安排更换
及时发现缺陷,确保互感器安全运行
启动变、主变增加局部放电试验,防止大型变压器损坏
启动变、主变增加局部放电试验,防止互感器爆炸
出口短路,变压器故障风险
吊检变压器,绝缘受伤  
安装变压器套管,引线扭结  
吊拉引线过度用力,引线根部绝缘损伤  
吊拉引线过度用力,绕组绝缘损伤  
未拧紧夹件螺栓,夹件变形损坏  
未拧紧绝缘支架螺栓,绝缘支架变形损坏  
运行中受电流冲击,夹件变形损坏  
运行中受电流冲击,绝缘支架变形损坏  
冷却器故障,绕组温度过高
绝缘劣化,烧坏
启动多台冷却器,油流带电
油流带电,击穿事故
短路时间过长,损坏变压器
变压器出口短路,绕组状态异常
变压器近区短路,绕组状态异常
运输冲撞,部件损坏
铁心多点接地,短路故障
未测试铁心绝缘,无法发现多点接地
穿芯螺栓绝缘不良,短路故障
套管脏污,污闪
大雨,闪络
引线等部件变形,发生放电击穿
操作松动,发生放电击穿
裸露引线有毛刺及尖角,发生放电击穿
套管质量问题,变压器火灾
运行方式不能满足要求,应采取其它预防措施
电流互感器电容芯底部击穿,扩大事故影响范围
一次端子L1与L2安装方向错误,母差保护无法正常投入运行
二次绕组极性连接错误,母差保护无法正常投入运行
