异常响声,音响较大而嘈杂
夹件或压紧铁芯的螺钉松动,应停止变压器运行
停止变压器运行,进行检查
绕组严重故障,零件发热
零件发热,油气化
油气化,水沸腾声
水沸腾声,"咕噜咕噜"气泡逸出声
接触不良,局部过热
变压器匝间短路,发出声音
局部过热,发出声音
音响夹有爆炸声,可能是变压器绝缘击穿
变压器停止运行,进行检修
变压器器身或套管表面局部放电,音响中出现"吱吱"声
套管表面脏污,出现电晕辉光或小火花
清理脏污并涂硅油或硅脂,防止电晕辉光或小火花
变压器铁芯振动,机械接触
静电放电,异常响声
温度异常升高,变压器故障象征
变压器匝间短路,温度异常升高
变压器层间短路,温度异常升高
变压器股间短路,温度异常升高
变压器铁芯局部短路,温度异常升高
漏磁或涡流,油箱发热
漏磁或涡流,箱盖发热
长期过负荷运行,温度异常升高
事故过负荷,温度异常升高
散热条件恶化,温度异常升高
变压器温度异常,查明原因
内部故障,停止运行
内部故障,进行检修
采取措施,温度下降
变压器内部故障短路电流和高温电弧,变压器油迅速老化
继电保护装置未及时切断电源,故障长时间持续存在
故障长时间持续存在,箱体内部压力持续增长
箱体内部压力持续增长,高压油气喷出形成事故
匝间短路,绝缘损坏  
局部过热,绝缘损坏  
变压器进水,绝缘受潮损坏  
雷击,绝缘损坏  
过电压,绝缘损坏  
导线焊接不良,断线
引线连接松动,断线
断线,产生电弧
产生电弧,油气化
油气化,内部压力增高
分接开关动静触头发热,跳火起弧
跳火起弧,调压段线圈短路
严重漏油,变压器运行异常
变压器油渗漏严重,油位计见不到油位
油位计见不到油位,变压器停止运行
油面过低,绝缘水平降低
绝缘水平降低,击穿放电
焊缝开裂,变压器漏油
密封件失效,变压器漏油
震动,变压器漏油
外力冲撞,变压器漏油
油箱锈蚀,变压器漏油
套管积垢,污闪
污闪,单相接地
污闪,相间短路
外力冲撞或机械应力、热应力,变压器套管破损
变压器套管破损,引起闪络
异物落在箱盖,套管放电
异物落在箱盖,相间短路
变压器停运后送电,电压不正常
新投运变压器,三相电压过高
电压过高,用电设备烧毁
高压保险丝熔断,送不上电
雷雨过后,变压器送不上电
变压器声音异常,发出“吱吱”或“霹啪”响声
变压器声音异常,发出青蛙“唧哇唧哇”叫声
高压接线柱烧坏,高压套管破损和闪络
变压器温度失常,温度不断上升
油色变化过甚,油内出现炭质
变压器发出吼叫声,安全气道向外喷油
变压器发出吼叫声,储油柜向外喷油
变压器变形,漏油
变压器变形,渗油
电源缺一相电,发生缺相
高压保险丝熔断,发生缺相
振动断线,发生缺相
分接开关不到位,发出较大响声
分接开关不到位,高压熔丝熔断
分接开关接触不良,产生轻微放电声
负荷加大,分接开关触头烧坏
停电,修理
掉入异物,变压器发出敲击声
穿心螺杆松动,变压器发出吹风声
穿心螺杆松动,变压器发出磁吸响声
高压套管脏污,表面闪络
釉质脱落或裂损,表面闪络
表面闪络,听到响声
表面闪络,看到火花
铁心接地断线,变压器放电
绝缘距离不够,停电吊心检查
绝缘距离不够,加强绝缘
绝缘距离不够,增设绝缘隔板
线路断线,变压器发出叫声
导线接触,弧光火花产生
低压线路接地,变压器发出轰响
短路点近,变压器吼叫
变压器过负荷,发出嗡嗡声
电压过高,变压器过励磁
变压器过励磁,响声增大且尖锐
绕组发生短路,变压器烧坏
变压器烧坏,发出沸腾声
