异常运行,故障发生
故障发生,设备不安全
定期检查,掌握运行情况
掌握运行情况,及时采取措施
及时采取措施,消除故障隐患
消除故障隐患,保障安全运行
电网单相接地或谐振过电压,变压器声音尖锐
大容量设备启动,变压器声音增大
变压器带有谐波分量,变压器发出“哇哇”声或“咯咯”间歇声
过负荷,变压器发出很高而且沉重的“嗡嗡”声
个别零件松动,变压器发出强烈而不均匀的“噪音”或有“锤击”和“吹风”之声
变压器内部接触不良或绝缘击穿,变压器发出“噼啪”或“吱吱”声
系统短路或接地,变压器发出“噼啪”噪音且可能有巨大轰鸣声
系统发生铁磁谐振,变压器发生粗细不匀的噪音
涡流或穿芯螺丝绝缘损坏,变压器油温升高
穿芯螺丝绝缘破坏,穿芯螺丝与硅钢片间绝缘破坏
绝缘破坏,有很大电流通过穿芯螺丝
大电流通过穿芯螺丝,螺丝发热
螺丝发热,油温升高
绕组短路,油温升高
内部接点故障,接触电阻加大
接触电阻加大,油温升高
二次线路短路,油温升高
绝缘油与空气接触,吸收水分
吸收水分,绝缘性能降低
油在较高温度下运行,油与空气中的氧接触
油与空气中的氧接触,生成各种氧化物
氧化物呈酸性,金属和绝缘材料受到腐蚀
金属和绝缘材料受到腐蚀,油的介质损耗增加
油的介质损耗增加,绝缘强度降低
绝缘强度降低,变压器内闪络
变压器内闪络,绕组与外壳击穿
二次系统短路,变压器油喷出
内部短路故障,变压器油喷出
变压器油喷出,油面降低
油面降低,瓦斯保护动作
三相负载不平衡,中性点位移
中性点位移,三相电压不平衡
系统发生铁磁谐振,三相电压不平衡
绕组局部短路,三相电压不平衡
继电保护动作,变压器内部有故障
轻瓦斯动作,发出信号
重瓦斯动作,掉闸
滤油、加油和冷却系统不严密,空气进入变压器
温度下降,油位缓慢降低
漏油,油位缓慢降低
变压器内部故障,产生少量气体
变压器内部短路,产生少量气体
保护装置二次回路故障,轻瓦斯动作
空气进入瓦斯继电器,变压器可继续运行
气体可燃,变压器内部故障
木质绝缘损坏,产生黄色不易燃气体
油过热分解,产生灰色黑色易燃气体
纸或纸板绝缘损坏,产生浅灰色带臭味可燃气体
氢烃类含量增加,裸金属过热性故障  
一氧化碳二氧化碳增加,固体绝缘物过热性故障  
氢烃类气体增加,乙炔含量很高  
乙炔含量很高,放电性故障  
密封橡胶垫质量不好,套管密封不严  
安装位置不当,套管密封不严  
螺母压得不紧,套管密封不严  
套管密封不严,绝缘受潮损坏  
绝缘分层间隙存在,游离放电形成  
表面积垢严重,套管闪络爆炸  
碎片和裂纹存在,套管闪络爆炸  
分接开关故障,变压器油箱放电声
分接开关故障,电流表摆动
分接开关故障,瓦斯保护信号
分接开关故障,油闪点降低
分接开关故障,出现异常现象
分接开关触头弹簧压力不足,有效接触面积减少
触头滚轮压力不匀,有效接触面积减少
镀银层机械强度不够,严重磨损
严重磨损,分接开关烧毁
分接开关接触不良,经受不起短路电流冲击
倒分接开关位置切换错误,开关烧坏
相间距离不够,过电压作用下短路
绝缘材料性能降低,过电压作用下短路
触头磨损,接触不良
未用触头长期浸油氧化,产生氧化膜
氧化膜,分接头接触不良
防止分接开关故障,测量各分头直流电阻
三相电阻不平衡,相差值不应超过2%
变压器故障,电路故障
变压器故障,磁路故障
线圈绝缘老化,电路故障  
线圈受潮,电路故障  
切换器接触不良,电路故障  
材料质量不良,电路故障  
制造工艺不良,电路故障  
过电压冲击,电路故障  
二次系统短路,电路故障  
进行特性试验及分析,找出故障原因
找出故障原因,判明故障性质
判明故障性质,提出处理办法
提出处理办法,确保安全运行
