短路故障,主变压器过流
短路事故,重瓦斯保护动作
重瓦斯保护动作,主变压器三侧开关跳开
C相高压绕组失团,中压绕组变形
C相中压绕组严重变形,挤破囚扳
挤破囚扳,中低压绕组短路
中低压绕组短路,低压绕组烧断
上部铁芯锈迹,底座锈迹
多次发生单相接地,事故发生
35kV侧过流动作,重合成功
35kV侧过流动作,重合闸动作
重合闸动作,主变压器重瓦斯保护跳主变压器三侧开关
短路冲击,变压器承受
变压器绕组松散,变压器B、C相绕组严重变形并烧毁
内层导线受力,外层导线应力增大
绕组松散,起不到均衡作用
起不到均衡作用,抗短路能力降低
内侧中压绕组承受辐向力和轴向力的能力降低,绕组稳定性降低
撑条数目增加,导线辐向弯曲应力减小
围板结构较软,绕组呈空松格局
绕组空松格局,需选用硬纸筒绝缘结构
变压器动稳定性能差,变压器绕组损坏
加强变压器质量监制管理,提高抗短路能力
强调突发短路试验,提高变压器抗短路能力
加强系统维护,减少出口短路冲击机率
变压器绝缘受潮,过热故障
组合编码101,主变压器内部绝缘过热
组合编码101,主变压器内部低能放电
主绝缘慢性受潮,氢气乙炔含量高
主绝缘受潮,绝缘材料含有气泡
绝缘材料含有气泡,发生局部放电
局部放电,产生Hz
高电场强度,水和铁发生化学反应
水和铁发生化学反应,产生大量H2
主绝缘受潮,电导损耗增大
主绝缘受潮,夹层极化产生
夹层极化产生,介质损耗增加
磁屏蔽绝缘脱落,影响设备性能
磁屏蔽板绝缘脱落,磁屏蔽一点或多点接地
磁屏蔽一点或多点接地,形成感应电流闭合回路
形成感应电流闭合回路,发热
磁屏蔽板绝缘脱落,接触不好
接触不好,形成间隙放电
接触不好,火花放电
白布带脱落,对套管升高座放电
绝缘碰伤,对套管升高座放电
接触不良,悬浮电位放电
热点故障,局部放电
局部放电,高温过热加剧
高温过热加剧,恶性循环形成
覆带式加热器加热,主变压器底部保温
硅酸铝材料保温,主变压器顶部及侧面保温
尼龙布拉围屏,主变压器四周保温
底部不通风,进一步保温
加热器加热,主变压器外壁温度保持在60℃～70℃
加热72h后,采用负压抽真空
反复3--4次抽真空,再做介质损耗试验
介质损耗试验,试验结果合格
进油时真空脱气,色谱分析正常
色谱分析正常,试验数据合格
试验数据合格,变压器运行正常
