变压器故障,生产停电
线圈和铁芯浸没在变压器油中,无法通过肉眼判定故障隐患
线圈和铁芯浸没在变压器油中,无法通过直接测量判定故障隐患
滞留时间不同,组分先后流出
分配原理应用,混合物分离实现
分配系数差异,分离效果显著
局部放电,油裂解产生氢和甲烷
故障温度高于正常运行温度,产生甲烷气体
故障温度升高,乙烯成为主要特征
故障温度升高,乙烷成为主要特征
温度高于1000℃,油裂解
电弧弧道高温,气体含乙炔增多
故障涉及固体绝缘材料,产生较多一氧化碳
故障涉及固体绝缘材料,产生较多二氧化碳
温度升高到140℃到500℃,产生烷类气体
温度升高到500℃以上,烯烃和氢增加
温度升高到约800℃,产生乙炔气体
电弧存在,油裂解
油裂解,产生乙炔和氢气
负荷变化,热胀冷缩
热胀冷缩,形成空穴和油开释溶解气体
泵循环油,湍流
湍流,形成空穴和油开释溶解气体
磁滞伸缩效应,机械振动
机械振动,形成空穴和油开释溶解气体
气泡集在高电压应力区域,气隙放电
放电,油的分解
放电,固体绝缘材料分解
分解产生气体,更有利于放电
较低温度长期加热,固体绝缘材料老化变质
固体绝缘材料老化变质,产生一氧化碳和二氧化碳气体
高温作用,固体绝缘材料分解
温度升高,一氧化碳和二氧化碳比值增大
铁钢等金属材料起催化作用,水与铁反应产生氢气
奥氏不锈钢材与尽缘油接触,开释氢溶解于油中
其他原因,油中出现气体
故障排除后尽缘油未经彻底脱气,部分残余气体仍留在油中
设备油箱带油补焊,油中含气体
原注进的油含有某几种气体,油中含气体
附属设备故障,产生气体
气体产生,进入变压器本体油中
故障点存在,产气速率增加
固体绝缘故障,一氧化碳含量增长
固体绝缘故障,二氧化碳含量增长
总烃含量超出正常范围且一氧化碳超过300ppm,可能涉及固体绝缘过热
一氧化碳超过300ppm但总烃正常,判断为正常
双饼式线圈变压器一氧化碳超过300ppm且总烃正常,可能有固体绝缘过热故障
载流导线和接头不良,过热故障
触头接触不良,环流发热
引线接头虚焊,环流发热
线圈股间短路,环流发热
导体间相接,环流发热
超负荷运行,发热
线圈绝缘膨胀,散热不良
油道堵塞,散热不良
铁芯多点接地,局部过热
铁芯片间短路,局部过热
铁芯与穿芯螺钉短路,局部过热
漏磁,局部过热
电流互感器一次引线螺母松动,过热性故障  
分流比抽头螺母松动,过热性故障  
电容套管穿缆线鼻焊接不良,过热性故障  
导管与将军帽配合不当,过热性故障  
线圈匝层间绝缘击穿,电弧放电故障
过电压,内部闪络
引线断裂,闪弧
分接开关飞弧,电弧放电故障
电容屏击穿,电弧放电故障
故障气体产生剧烈、产气量大,气体来不及溶解于油
气体来不及溶解于油,聚集到气体继电器
聚集到气体继电器,引起瓦斯动作
电场极不均匀,火花放电
电场畸变,火花放电
感应电位,火花放电
油和固体绝缘中的气泡和尖端,局部放电
耐压强度低,局部放电
电场集中,局部放电
放电蔓延与发展,绝缘损伤
电容芯绕包工艺不良,局部放电
真空干燥工艺不良,局部放电
故障持续,气体积累
气体饱和,析出气泡
油中故障气体含量及其累计程度,诊断故障的存在与发展情况
热和电场作用,设备老化分解
设备老化分解,产气速率缓慢
设备内部存在故障,加快气体产气速率
故障气体产气速率,诊断故障存在与发展程度
不同故障,产气特征
故障,产气特征
电压升不到要求范围,除尘效率下降
结构特殊,不答应随便拆开
总烃含量超过留意值,变压器存在放电
乙炔含量超留意值,变压器存在放电
变压器长时间间隙性放电,烃类气体含量较高
金属性电弧放电,变压器停运
电弧放电裂解变压油,积碳附着在铁芯绕组和硅堆上
变压器结构特殊,高压引出线通过马鞍型卡子连接
长时间运行,连接点松动
连接点松动,接触不良
接触不良,变压器电弧放电
变压器电弧放电,马鞍型铜卡子烧蚀
取消马鞍型卡子,高压引线紧压在穿墙螺杆上
更换变压器油,通电试运行正常
芯子装回箱体,通电试运行正常
运行职员反映,2#电场无法运行
2#电场无法运行,电源开关跳闸
接到反映,检查控制线路
检查控制线路,未发现题目
检查主电源回路,未发现题目
检查电场内部控制电路,未发现题目
未发现题目,断定变压器问题
断定变压器问题,拆除高低压引线
拆除高低压引线,检测变压器
检测变压器,尽缘电阻正常
检测变压器,直流电阻正常
乙炔含量为0ppm,变压器不存在放电现象
烷类及烃类气体含量高,总烃含量超标100多倍
乙烷及乙烯含量高,总烃的主要成分为乙烷和乙烯
二氧化碳含量高,二氧化碳含量非常高
过热,固体绝缘材料分解气体
短路故障,短路电流增大
短路电流增大,电源开关跳闸
低压线圈匝间短路,未造成低压线圈对高压线圈短路
低压线圈匝间短路,未造成低压线圈对地短路
尽缘电阻测试正常,未发现题目
线圈匝间短路,直流电阻变化不明显
直流电阻变化不明显,造成直流电阻正常的假象
造成直流电阻正常的假象,测变压器直流电阻时没有发现问题
变压器线圈绕组绝缘烧坏,维修困难
变压器线圈绕组绝缘烧坏,修理费用较贵
维修困难,不值得修理
修理费用较贵,不值得修理
不值得修理,决定更换新变压器
气体含量达到留意值,引起留意并采取措施
采取措施,进行其它电气试验
进行其它电气试验,分析设备有无异常
试验结果超标,采取措施
采取措施,停止运行
停止运行,验证故障点
验证故障点,防止事故
分析气体含量,判明设备故障
分析判定故障性质,确定故障类型
分析判定故障,估计故障危害性
估计故障危害性,及时采取措施
气相色谱分析,掌握变压器运行状态  
掌握变压器运行状态,提前发现潜伏性故障  
常规检测及色谱分析,诊断变压器故障  
诊断变压器故障,指导变压器维护保养  
指导变压器维护保养,保证电力系统安全运行  
