不可能具包罗检测方法,需要多种途径补充验证
不存在面面俱到检测仪器,需要多种技术手段综合判断
单靠电气试验方法很难发现某些局部故障和发热缺陷,通过变压器油中气体的色谱分析进行诊断
局部过热,油浸纸绝缘产生故障特征气体
电晕,油浸纸绝缘产生故障特征气体
电弧,油浸纸绝缘产生故障特征气体
油和固体绝缘老化变质,分解出气体
过热性故障,气体含量增加
放电性故障,气体含量增加
内部绝缘受潮,气体含量增加
油中气体成分含量,反映故障性质
油中气体成分含量,反映故障程度
定期测量气体成分和含量,及早发现潜伏性故障
颁布试验规程,变压器油分析放首位
普遍推广应用,经验积累
经验积累,显著成效
分接开关接触不良,过热性故障
铁心多点接地,过热性故障
局部短路或漏磁环流,过热性故障
导线过热和接头不良或紧固件松动,过热性故障
硅胶进入本体,局部油道堵塞
局部油道堵塞,局部散热不良
局部散热不良,过热性故障
套管引线电位悬浮,火花放电  
局部接触不良,放电  
分接开关电位悬浮,火花放电  
金属螺丝电位悬浮,火花放电  
铁心接地片接触不良,放电  
气体产生,变压器内部故障
加强监视,缩短下次试验周期
变压器内部故障,油中溶解气体含量变化
电晕放电,产生H2
油和固体绝缘热分解,产生H2
水分,产生H2
油和固体绝缘热分解,产生CH4
放电,产生CH4
固体绝缘受热,产生CO
固体绝缘热分解,产生CO
固体绝缘热分解,产生C2H6
放电,产生C2H6
固体绝缘受热,产生CO2
固体绝缘热分解,产生CO2
高温热点下油和固体绝缘热分解,产生C2H4
放电,产生C2H4
强弧光放电,产生C2H2
油和固体绝缘热分解,产生C2H2
电力设备预防性试验规程DL／T596—1996列出油中溶气含量注意值,注意值根据国内19个省市6000多台次变压器实地统计制定
油中H2与烃类气体含量超过注意值,应引起注意
热故障,绝缘介质裂解
电故障,绝缘介质裂解
绝缘介质裂解,产生特征气体
碳氢键键能低,生成热小
生成热小,H2生成
H2生成,H2成为特征气体成分
变压器内部进水受潮,H2含量很高
色谱分析H2超标,判断设备含水分
判断设备含水分,加做微水分析
水分和铁产生化学反应,水分解出H2
高电场作用,水分子分解
设备受潮,固体绝缘材料含水量高
油纸绝缘含气体和水分,H2含量高
真空滤油法处理受潮,设备含水量未降低
真空滤油,设备整体水分影响不大
对标气进行分析,氢气峰高达216mm
分离柱长期使用,吸附油
吸附油达到一定程度,释放油
油释放,分析误差
更换分离柱,恢复正常
放电性故障,C2H2产生
电弧放电,C2H2占总烃20％--70％
电弧放电,H2占氢烃总量30％～90％
C2H2含量超标,设备绕组短路
C2H2含量超标,分接开关切换产生弧光放电
C2H2超标且增长速率较快,设备内部存在高能量放电故障
热源处绝缘油分解,CH4和C2H4含量增加
故障点温度升高,C2H4比例增加
丁腈橡胶材料在变压器油中,产生大量CH4
橡胶本身含CH4,CH4释放到油中
硫化剂存在,释放CH4
增塑剂含甲基,释放CH4
硬脂酸含甲基,释放CH4
硫化条件,释放量变化
固体绝缘介入,产生CO和CO2
过热性故障,产气速率慢
CO含量异常,需要参考意见
总烃含量超过150uL/L,设备存在固体绝缘过热性故障
CO含量超过300uL/L,设备存在固体绝缘过热性故障
CO含量超过300uL/L且总烃正常,判断为正常
密封式变压器,CO含量高
CO含量变化,被人们忽视
